## Bill of Materials (BOM)

| Ref.                   | Component         |         Value | Qty. | Footprint                     |
| ---------------------- | ----------------- | ------------: | ---: | ----------------------------- |
| C1, C2, C4, C5, C7, C8 | Ceramic Capacitor |        100 nF |    6 | 0805                          |
| C3, C6                 | Ceramic Capacitor |          1 nF |    2 | 0805                          |
| D1, D2                 | Diode             |             — |    2 | SOD-123                       |
| J1, J2                 | 2-Pin Header      |             — |    2 | 1×02, 2.54 mm                 |
| J3                     | 5-Pin Header      |             — |    1 | 1×05, 2.54 mm                 |
| J4                     | 4-Pin Header      |             — |    1 | 1×04, 2.54 mm                 |
| R1, R7                 | Resistor          |          1 kΩ |    2 | DIN0207, 10.16 mm pitch       |
| R2, R8                 | Resistor          |     16.455 kΩ |    2 | DIN0207, 10.16 mm pitch       |
| R3, R9, R13, Rg1, Rg2  | Resistor          |         10 kΩ |    5 | DIN0207, 10.16 mm pitch       |
| R4, R5, R10, R11       | Resistor          |       5.36 kΩ |    4 | DIN0207, 10.16 mm pitch       |
| R6, R12                | Resistor          |          47 Ω |    2 | DIN0207, 10.16 mm pitch       |
| Rf1, Rf2               | Resistor          |        5.9 kΩ |    2 | DIN0207, 10.16 mm pitch       |
| SW1                    | Push Button       |             — |    1 | NKK GW12LJP                   |
| U1                     | Quad Op-Amp       |       MCP6004 |    1 | DIP-14, 7.62 mm               |
| U2                     | Microcontroller   | STM32G031K8Tx |    1 | LQFP-32, 7×7 mm, 0.8 mm pitch |

**Total components:** 40
