"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C4, C5, C7, C8";"C_0805_2012Metric";6;"100n";;;
2;"C3, C6";"C_0805_2012Metric";2;"1n";;;
3;"D1, D2";"D_SOD-123";2;"D";;;
4;"J1, J2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
5;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
6;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
7;"R1, R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1k";;;
8;"R2, R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"16.455k";;;
9;"R3, R9, R13, Rg1, Rg2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";5;"10k";;;
10;"R4, R5, R10, R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"5.36k";;;
11;"R6, R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"47";;;
12;"Rf1, Rf2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"5.9k";;;
13;"SW1";"SW_NKK_GW12LJP";1;"SW_Push";;;
14;"U1";"DIP-14_W7.62mm";1;"MCP6004";;;
15;"U2";"LQFP-32_7x7mm_P0.8mm";1;"STM32G031K8Tx";;;
